Team,C1,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,14,0,16,3,0,1,0,0,0,15,4,10,0,35,49,30,41,0
CGY,9,1,16,3,0,1,0,0,0,15,6,8,0,30,44,23,46,9
EDM,7,1,8,6,0,0,0,0,0,11,2,8,1,14,28,32,31,0
HAM,5,2,16,1,0,2,0,0,0,12,5,4,1,13,28,49,40,0
MTL,10,0,12,0,0,0,1,0,0,10,3,5,1,24,30,16,36,0
OTT,6,5,17,1,0,0,1,0,0,12,6,3,2,21,46,17,42,14
SSK,9,1,13,3,0,0,2,0,0,12,2,8,0,24,19,38,38,6
TOR,20,1,9,5,0,0,1,0,0,22,12,7,2,36,56,44,50,0
WPG,18,0,15,3,2,0,1,0,0,20,6,13,0,52,45,60,30,3
CFL,98,11,122,25,2,4,6,0,0,129,46,66,7,249,345,309,354,32
