Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,11,+4,15,3,9,1,0,2,1,7,1,2,0
CGY,19,+2,21,3,14,2,1,1,5,7,3,1,3
EDM,26,-7,19,5,10,2,2,0,6,15,3,2,0
HAM,24,-6,18,2,10,2,4,0,6,15,1,2,0
MTL,16,+0,16,2,13,1,0,0,4,11,1,0,0
OTT,21,-7,14,6,6,2,0,0,1,18,2,0,0
SSK,18,+2,20,3,13,2,2,0,1,12,3,1,1
TOR,12,+7,19,4,12,3,0,0,0,7,2,3,0
WPG,17,+5,22,2,15,1,3,1,6,10,0,1,0
CFL,164,0,164,30,102,16,12,4,30,102,16,12,4
