Team,TOP,Gap,RESULTS Drv TD,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,32:06,-5.4,ALL DRIVES 879 118,100,"3,357",33.6,10,3,99,"3,855",38.9
CGY,27:48,+3.1,FIRST DOWN?,103,"4,122",40.0,15,5,101,"3,732",37.0
EDM,27:53,+2.8,Min. 1 First Down 568 118,108,"3,931",36.4,12,2,109,"3,667",33.6
HAM,30:54,-1.5,2 & Out (no FD) 311 0,99,"3,601",36.4,14,4,100,"3,783",37.8
MTL,29:41,-2.6,SACKS IMPACT:,81,"2,776",34.3,5,1,82,"3,021",36.8
OTT,31:00,-1.6,No Sack Allowed 720 113,106,"3,885",36.7,10,4,105,"4,016",38.2
SSK,30:11,-+0.7,Sack Allowed 162 6,102,"3,772",37.0,15,3,100,"3,766",37.7
TOR,29:51,+7.3,PENALTIES IMPACT:,82,"3,357",40.9,16,7,89,"2,998",33.7
WPG,30:50,-1.2,Defensive Penalty 137 48,98,"3,605",36.8,13,3,94,"3,568",38.0
CFL,,,No Def. Penalty 742 69,879,"32,406",36.9,110,32,879,"32,406",36.9
