Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC
BC,7,6,71,13,36,0.86,243,9.4,"2,456",25,10,296,261,169,64.8,"1,946",83.6,2.7,7.5,799
CGY,5,10,76,8,39,2.00,232,9.7,"2,348",25,13,280,242,162,66.9,"1,853",94.9,2.1,7.7,849
EDM,7,10,70,15,50,1.43,264,11.7,"2,553",17,7,243,219,148,67.6,"2,113",100.5,3.2,9.6,688
HAM,8,10,59,19,43,1.25,279,10.9,"2,433",24,22,270,224,151,67.4,"2,230",99.7,3.6,10.0,926
MTL,11,6,68,11,49,0.55,257,11.3,"2,628",13,9,254,232,145,62.5,"1,799",75.3,4.7,7.8,565
OTT,13,11,95,20,52,0.85,315,10.8,"2,807",21,9,289,259,170,65.6,"2,517",90.5,5.0,9.7,"1,145"
SSK,9,8,102,12,34,0.89,231,10.5,"2,373",18,19,264,227,144,63.4,"1,850",84.1,4.0,8.1,841
TOR,14,11,84,7,43,0.79,297,9.9,"2,469",24,10,284,250,182,72.8,"2,079",88.7,5.6,8.3,881
WPG,9,7,80,10,45,0.78,240,11.3,"3,063",27,22,319,270,161,59.6,"1,917",76.1,3.3,7.1,610
CFL,83,79,102,115,391,0.95,523,10.6,"23,130",194,121,"2,499","2,184","1,432",65.6,"18,304",87.9,3.8,8.4,"7,304"
