Team,Acc,Decl,Yards,GP,ALL,Avg,Off,Def,SpTm,ST_cover_Punt,ST_cover_K/Os,ST_return_PtR,ST_return_KOR
BC,68,8,676,8,76,9.5,25,29,22,9,1,11,1
CGY,52,9,563,8,61,7.6,19,25,17,5,2,8,2
EDM,68,12,768,8,80,10.0,23,33,24,10,3,5,6
HAM,76,9,783,8,85,10.6,31,26,28,9,5,12,2
MTL,49,7,524,7,56,8.0,18,19,19,1,1,12,5
OTT,45,5,440,8,50,6.3,21,17,12,6,3,3,0
SSK,45,5,372,8,50,6.3,22,18,10,4,0,3,3
TOR,58,7,600,7,65,9.3,35,21,9,2,2,4,1
WPG,41,8,415,8,49,6.1,22,14,13,4,0,9,0
CFL,502,70,"5,141",2023,572,16.3,216,202,154,50,17,67,20
