Team,FGM,T/O,Punt,Oth TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,16,52,8 14%,115,16,22,24,3,65,9,14,1,8,2,3,0,1,1,37,32%
CGY,3,15,54,3 13%,114,15,24,15,2,64,6,19,1,7,2,8,4,1,0,36,32%
EDM,3,21,63,3 9%,108,10,8,14,2,67,5,15,1,8,1,4,1,0,0,37,34%
HAM,1,24,51,6 11%,113,12,19,18,0,61,5,19,3,10,3,3,0,2,1,44,39%
MTL,4,14,39,6 11%,95,10,22,19,1,48,6,20,2,3,0,4,1,1,0,27,28%
OTT,2,21,54,10 7%,122,9,26,21,1,64,3,23,1,4,2,7,2,3,0,52,43%
SSK,4,22,54,5 11%,117,13,19,19,1,65,6,18,3,8,1,6,1,1,1,47,40%
TOR,1,8,47,4 23%,93,21,12,14,1,46,10,16,3,8,3,9,4,0,0,28,30%
WPG,1,17,43,9 22%,113,25,18,14,4,66,12,17,5,11,2,4,2,1,0,42,37%
CFL,20,158,457,54 13.2,990,131,170,158,15,546,62,161,20,67,16,48,15,10,3,350,35%
