Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_TD_Opp_rush_TD_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,4,16,3,86,18,2,150,688,4.6,100,468,4.7,40,166,14,122,600,4.9,5
CGY,7,21,3,96,25,5,156,767,4.9,107,531,5.0,39,159,9,172,903,5.3,5
EDM,2,19,5,80,29,6,133,637,4.8,85,420,4.9,46,222,18,197,"1,133",5.8,7
HAM,6,20,2,76,24,7,126,609,4.8,89,433,4.9,27,147,11,183,973,5.3,11
MTL,4,16,3,94,17,4,139,657,4.7,96,476,5.0,41,195,17,118,658,5.6,4
OTT,6,28,6,126,9,1,180,"1,010",5.6,122,643,5.3,67,478,35,147,488,3.3,6
SSK,3,18,3,84,22,1,149,670,4.5,78,383,4.9,35,179,11,171,721,4.2,6
TOR,12,23,4,114,16,0,160,799,5.0,109,539,4.9,32,141,7,134,546,4.1,3
WPG,8,23,3,114,24,6,179,912,5.1,119,642,5.4,25,80,4,128,727,5.7,5
CFL,52,184,32,193,184,32,"1,372","6,749",4.92,905,"4,535",5.01,352,"1,767",126,"1,372","6,749",4.92,52
