Team,OPP_Tot,Diff Rnk,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,20,+2 4,22,3,14,2,1,2,2,15,1,2,0
CGY,25,+1 5,26,3,17,3,2,1,6,11,4,1,3
EDM,29,-3 7,26,7,14,2,2,1,7,17,3,2,0
HAM,33,-13 8,20,3,10,2,4,1,8,21,1,2,1
MTL,19,+9 2,28,5,22,1,0,0,6,11,1,0,1
OTT,34,-15 9,19,8,8,3,0,0,3,27,4,0,0
SSK,26,-2 6,24,3,17,2,2,0,3,17,4,1,1
TOR,14,+15 1,29,6,17,6,0,0,0,9,2,3,0
WPG,27,+6 3,33,4,24,1,3,1,7,15,2,3,0
CFL,227,0,227,42,143,22,14,6,42,143,22,14,6
