Team,Team Oppt CFL-wide,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"2,247 1,675 17,009",321,7.0,278,6.03,113,208
CGY,"2,079 1,897",306,6.79,311,6.1,132,174
EDM,"1,886 2,110  Note:",276,6.83,314,6.72,117,159
HAM,"1,650 2,368  'Pass+' includes Pass attempts",260,6.35,291,8.14,99,161
MTL,"1,644 1,471   and Sacks Allowed",272,6.04,261,5.64,128,144
OTT,"1,851 2,259",313,5.91,299,7.56,145,168
SSK,"1,697 1,994",312,5.44,301,6.62,109,203
TOR,"1,704 1,578",234,7.28,265,5.95,122,112
WPG,"2,251 1,657",315,7.15,289,5.73,144,171
CFL,,"2,609",6.52,"2,609",0.0,"1,109","1,500"
