Unnamed: 0,On 1st Down,CFL,1ST D CALLS,Opp 1st Dn:,CFL.1,1st Down Yards:
TM,Plays Avg Yd,Rank,Rush  Pass+,Plays Av Yd,Rank,Team Oppt CFL-wide
BC,321 7.00,3,113 208,278 6.03,4,"2,247 1,675 17,009"
CGY,306 6.79,5,132 174,311 6.10,5,"2,079 1,897"
EDM,276 6.83,4,117 159,314 6.72,7,"1,886 2,110  Note:"
HAM,260 6.35,6,99 161,291 8.14,9,"1,650 2,368  'Pass+' includes Pass attempts"
MTL,272 6.04,7,128 144,261 5.64,1,"1,644 1,471   and Sacks Allowed"
OTT,313 5.91,8,145 168,299 7.56,8,"1,851 2,259"
SSK,312 5.44,9,109 203,301 6.62,6,"1,697 1,994"
TOR,234 7.28,1,122 112,265 5.95,3,"1,704 1,578"
WPG,315 7.15,2,144 171,289 5.73,2,"2,251 1,657"
CFL,"2,609 6.52",,"1,109 1,500","2,609 0.00",,
