Team,TOP,Gap,RESULTS Drv TD,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,31:48,-5.4,"ALL DRIVES 1,209 173",146,"5,034",34.5,14,4,146,"5,824",39.9
CGY,28:50,+2.6,FIRST DOWN?,144,"5,678",39.4,22,6,141,"5,197",36.9
EDM,28:07,+3.1,Min. 1 First Down 780 173,133,"4,881",36.7,13,2,133,"4,463",33.6
HAM,30:04,-2.3,2 & Out (no FD) 429 0,124,"4,501",36.3,15,4,126,"4,866",38.6
MTL,30:16,-0.6,SACKS IMPACT:,121,"4,393",36.3,10,2,124,"4,571",36.9
OTT,31:18,-0.4,No Sack Allowed 992 167,149,"5,528",37.1,16,6,145,"5,439",37.5
SSK,29:46,-0.7,Sack Allowed 217 7,147,"5,502",37.4,21,5,145,"5,530",38.1
TOR,28:21,+7.0,PENALTIES IMPACT:,105,"4,192",39.9,18,8,113,"3,723",32.9
WPG,31:12,-1.8,Defensive Penalty 192 68,140,"5,151",36.8,16,4,136,"5,247",38.6
CFL,,,No Def. Penalty 1017 104,"1,209","44,860",37.1,145,41,1209,"44,860",37.1
