Team,,Team,C2_Rsh,C2_Pass,C2_Def,Rsh_att,Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md,C2_%
BC,,BC,0,0,0,1,1,24,23,95.8,1,2,0,0.0
CGY,,CGY,0,1,0,0,5,16,15,93.8,1,5,1,20.0
EDM,,EDM,1,0,0,2,1,18,17,94.4,1,3,1,33.3
HAM,,HAM,0,2,0,1,4,14,10,71.4,4,5,2,40.0
MTL,,MTL,0,1,0,0,3,20,19,95.0,1,3,1,33.3
OTT,,OTT,1,4,0,1,6,14,14,100.0,0,7,5,71.4
SSK,,SSK,0,1,0,0,3,17,16,94.1,1,3,1,33.3
TOR,,TOR,1,1,0,1,2,34,32,94.1,2,3,2,66.7
WPG,,WPG,0,0,0,0,0,38,34,89.5,4,0,0,0
CFL,,CFL,3,10,0,6,25,195,180,92.3,15,31,13,41.9
