Team,GP,L,Record_W,Record_L,Home_W,Home_L,Away_W,Away_L,Scoring_PF,Scoring_PA,Scoring_Diff
BC,9,4,7,4,4,1,3,3,275.0,217.0,58.0
CGY,11,7,3,8,1,4,2,4,248.0,294.0,-46.0
EDM,11,7,2,9,1,5,1,4,188.0,280.0,-92.0
HAM,10,5,4,6,1,4,3,2,200.0,261.0,-61.0
MTL,10,4,6,4,3,2,3,2,241.0,226.0,15.0
OTT,11,7,3,8,2,3,1,5,251.0,283.0,-32.0
SSK,10,5,5,5,3,2,2,3,210.0,272.0,-62.0
TOR,9,1,8,1,5,0,3,1,307.0,206.0,101.0
WPG,11,1,9,2,5,1,4,1,344.0,225.0,119.0
2023 Total,47,41,47,47,25,22,22,25,48.2,,
In 2022,81,58,81,81,37,44,44,37,50.4,,
