Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC
BC,8,10,71,16,52,1.25,231,9.2,"3,187",31,14,391,346,223,64.5,"2,543",86.4,2.3,7.3,"1,000"
CGY,8,17,76,14,53,2.13,246,10.1,"3,377",32,15,381,334,223,66.8,"2,705",98.5,2.4,8.1,"1,166"
EDM,8,14,70,18,69,1.75,256,11.2,"3,373",27,14,341,300,204,68.0,"2,816",102.3,2.7,9.4,903
HAM,9,13,59,22,51,1.44,278,10.9,"3,076",27,25,335,283,191,67.5,"2,775",101.2,3.2,9.8,"1,123"
MTL,16,10,68,13,69,0.63,231,11.2,"3,437",19,17,343,307,192,62.5,"2,307",74.7,5.2,7.5,739
OTT,16,18,95,31,76,1.13,326,11.0,"3,756",28,22,392,342,230,67.3,"3,584",99.8,4.7,10.5,"1,581"
SSK,11,12,102,17,46,1.09,245,11.7,"3,302",24,24,330,282,178,63.1,"2,454",88.9,3.9,8.7,"1,037"
TOR,14,18,84,13,60,1.29,306,10.1,"3,198",32,15,365,318,228,71.7,"2,758",98.5,4.4,8.7,"1,170"
WPG,12,8,80,15,53,0.67,222,11.6,"3,906",31,29,397,337,199,59.1,"2,438",74.5,3.6,7.2,750
CFL,102,120,102,159,529,1.18,519,10.7,"30,612",251,175,"3,275","2,849","1,868",65.6,"24,380",91.5,3.6,8.6,"9,469"
