2023 CFL,Unnamed: 0,2023 PENALTIES BY TEAM: (INCL. DECLINED),Unnamed: 1,Unnamed: 2,15,Unnamed: 3,53,16.2
PENALTIES BY TEAM,,BC CGY EDM HAM MTL OTT SSK,TOR,WPG,16,,50,16.2
PREVENTABLE:,CFL,,,,17,,57,16.1
Offside - Offence,35,6 4 5 4 7 3 1,4,1,18,,72,16.2
Offside - Defence,77,13 3 15 4 10 9 7,10,6,19,,58,16.1
Procedure,55,5 8 3 11 1 7 6,9,5,20,,62,16.1
Procedure No End,8,0 0 0 2 2 0 0,1,3,21,,72,16.2
Illegal Sub/Too Many Men,16,1 2 4 2 2 0 1,4,0,,,,
Illegal  Formation,1,1 0 0 0 0 0 0,0,0,,,,
Illegal Participation,5,0 2 0 0 1 0 0,0,2,,,,
Time Count,32,5 3 1 6 3 1 2,6,5,BREAKING DOWN 2023,,,Avg
Objectionable Conduct,36,2 3 5 9 6 2 6,3,0,PENALTY YARDAGE,Yards,No,Yds
No Yards,39,5 7 6 4 2 4 7,2,2,TOTAL,"6,939",757,9.2
IDK (Ill. Downfield),2,0 0 1 0 1 0 0,0,0,Offence,"1,975",279,7.1
Contacting Kicker,2,0 0 1 0 1 0 0,0,0,Defence,"2,758",265,10.4
Illegal Punt,13,2 1 3 2 0 2 1,0,2,Special Teams,"2,206",213,10.4
Illegal Kickoff,5,0 0 2 2 0 1 0,0,0,IN DETAIL:,,,
TECHNICAL:,,,,,Roughness / Obj Cond:,,,
Intentional Ground,7,0 0 3 1 0 0 1,0,2,URs - Individual Calls,"1,578",119,13.3
Holding - Offence,76,16 8 11 3 5 6 10,10,7,OCs - Individual Calls,232,24,9.7
Illegal Blk - Offence,15,1 3 1 3 0 1 0,4,2,UR-OC Offsets *,730,47,15.5
Holding - Return,58,10 6 5 11 9 6 5,1,5,Pass Defence Calls:,,,
Illegal Blk - Return,40,4 8 5 4 9 1 1,3,5,Def. Pass Interference,918,49,18.7
Defensive Pass Interf.,49,6 6 10 7 4 3 5,3,5,Illegal Contact,140,22,6.4
Illegal Contact (ICR),22,6 4 4 0 2 2 2,0,2,Off. Pass Interference,30,7,4.3
Off. Pass Interference,7,0 1 0 1 1 0 0,0,4,Kick Cover & Returns:,,,
Inelig Rec/Ill Fwd Pass,0,0 0 0 0 0 0 0,0,0,Return Holding & Ill Block,812,98,8.3
Pyramiding/Ill Inter*,3,0 0 2 0 0 1 0,0,0,No Yards / IDK,580,41,14.1
ROUGHNESS:,,,,,Illegal Kicks OB,180,18,10.0
UR - General,87,12 7 11 11 10 14 4,13,5,Offence - Hold/Il. Block:,,,
UR - Roughing Passer,28,4 3 3 4 3 0 3,5,3,Holding & Illegal Block,672,91,7.4
UR - Face Mask,23,1 4 2 2 4 4 3,3,0,All Other Calls:,,,
UR - Horse Coll Tackle,8,2 0 3 0 1 1 0,0,1,"Offside, Proc., Tm Ct ...","1,067",241,4.4
UR - Blindside Block,3,0 0 1 0 0 0 2,0,0,,,,
UR - Clip/Crack Back,0,0 0 0 0 0 0 0,0,0,,,,
UR - Cut/Chop Block,1,0 0 0 0 0 1 0,0,0,,,,
UR - Spearing,1,0 0 1 0 0 0 0,0,0,,,,
UR - Piling On,0,0 0 0 0 0 0 0,0,0,,,,
UR - Roughing Kicker,2,0 0 0 1 0 1 0,0,0,,,,
Rough Play DQ,1,0 0 1 0 0 0 0,0,0,,,,
ACCEPTED,757,91 72 95 84 72 64 59,73,59,,,,
DECLINED (included),(88),(11) (11) (14) (10) (12) (6) (8),(8),(8),,,,
