2023 CFL,Unnamed: 0,2023 PENALTIES BY TEAM: (INCL. DECLINED),Unnamed: 1,Unnamed: 2,15,Unnamed: 3,53 16.2
PENALTIES BY TEAM,,BC CGY EDM HAM MTL OTT SSK,TOR,WPG,16,,50 16.2
PREVENTABLE:,CFL,,,,17,,57 16.1
Offside - Offence,37,6 5 5 4 7 3 1,4,2,18,,72 16.2
Offside - Defence,86,15 3 19 6 10 9 8,10,6,19,,58 16.1
Procedure,61,6 10 4 12 1 7 6,10,5,20,,62 16.1
Procedure No End,8,0 0 0 2 2 0 0,1,3,21,,72 16.2
Illegal Sub/Too Many Men,17,2 2 4 2 2 0 1,4,0,,,
Illegal  Formation,1,1 0 0 0 0 0 0,0,0,,,
Illegal Participation,5,0 2 0 0 1 0 0,0,2,BREAKING DOWN 2023,,Avg
Time Count,34,6 3 1 6 3 1 2,7,5,PENALTY YARDAGE,Yards,No Yds
Objectionable Conduct,42,2 3 5 10 6 2 6,8,0,TOTAL,"7,541",826 9.1
No Yards,44,5 7 7 7 2 4 8,2,2,Offence,"2,169",303 7.2
IDK (Ill. Downfield),4,0 0 1 2 1 0 0,0,0,Defence,"3,071",298 10.3
Contacting Kicker,2,0 0 1 0 1 0 0,0,0,Special Teams,"2,301",225 10.2
Illegal Punt,13,2 1 3 2 0 2 1,0,2,IN DETAIL:,,
Illegal Kickoff,5,0 0 2 2 0 1 0,0,0,Roughness / Obj Cond:,,
TECHNICAL:,,,,,URs - Individual Calls,"1,720",129 13.3
Intentional Ground,8,0 1 3 1 0 0 1,0,2,OCs - Individual Calls,232,30 7.7
Holding - Offence,81,16 9 12 4 5 6 10,11,8,UR-OC Offsets *,849,52 16.3
Illegal Blk - Offence,16,1 3 1 3 0 1 1,4,2,Pass Defence Calls:,,
Holding - Return,61,11 6 5 11 10 6 6,1,5,Def. Pass Interference,"1,004",53 18.9
Illegal Blk - Return,41,4 8 5 4 10 1 1,3,5,Illegal Contact,160,27 5.9
Defensive Pass Interf.,53,6 6 12 7 4 3 6,4,5,Off. Pass Interference,30,7 4.3
Illegal Contact (ICR),27,8 4 5 1 3 2 2,0,2,Kick Cover & Returns:,,
Off. Pass Interference,7,0 1 0 1 1 0 0,0,4,Return Holding & Ill Block,847,102 8.3
Inelig Rec/Ill Fwd Pass,0,0 0 0 0 0 0 0,0,0,No Yards / IDK,625,48 13.0
Pyramiding/Ill Inter*,4,0 1 2 0 0 1 0,0,0,Illegal Kicks OB,180,18 10.0
ROUGHNESS:,,,,,Offence - Hold/Il. Block:,,
UR - General,98,12 9 11 12 11 14 9,13,7,Holding & Illegal Block,728,97 7.5
UR - Roughing Passer,31,5 3 3 4 4 0 3,5,4,All Other Calls:,,
UR - Face Mask,24,1 4 2 2 4 4 4,3,0,"Offside, Proc., Tm Ct ...","1,166",263 4.4
UR - Horse Coll Tackle,8,2 0 3 0 1 1 0,0,1,,,
UR - Blindside Block,3,0 0 1 0 0 0 2,0,0,,,
UR - Clip/Crack Back,0,0 0 0 0 0 0 0,0,0,2023 PLAY CALL TRENDS,,
UR - Cut/Chop Block,1,0 0 0 0 0 1 0,0,0,In  Offensive Plays Run,,Negated by Pn
UR - Spearing,1,0 0 1 0 0 0 0,0,0,2023 Rush Pass Sacks Oth TL,,Ran No Ply
UR - Piling On,0,0 0 0 0 0 0 0,0,0,"Total 2,059 3,108 268",98,248 141
UR - Roughing Kicker,2,0 0 0 1 0 1 0,0,0,%Tot 35% 52% 5%,2%,4% 2%
Rough Play DQ,1,0 0 1 0 0 0 0,0,0,Most Recent 3 Weeks (#9-11),,
ACCEPTED,826,98 79 101 92 77 64 69,82,64,"Total 857 1,151 93",37,99 66
DECLINED (included),(100),(13) (12) (18) (14) (12) (6) (9),(8),(8),%Tot 37% 50% 4%,2%,4% 3%
