Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 81,34,32,94.11764705882352,16,16,100.0,18,16,88.9,2,1,"1,103",34.5,"1,204",35.4
CGY,53,0,Made 74,46,41,89.13043478260869,24,23,95.8,22,18,81.8,7,6,"1,481",36.1,"1,707",37.1
EDM,46,1,% 91%,20,17,85.0,12,11,91.7,8,6,75.0,0,0,538,31.6,664,33.2
HAM,50,3,,32,27,84.375,25,24,96.0,7,3,42.9,3,1,787,29.1,"1,019",31.8
MTL,51,2,,38,32,84.21052631578947,21,18,85.7,17,14,82.4,3,3,"1,080",33.8,"1,315",34.6
OTT,54,2,,36,31,86.11111111111111,19,18,94.7,17,13,76.5,8,6,"1,069",34.5,"1,297",36.0
SSK,54,1,,35,30,85.71428571428571,23,22,95.7,12,8,66.7,6,3,921,30.7,"1,151",32.9
TOR,51,1,,22,20,90.90909090909092,16,16,100.0,6,4,66.7,2,1,643,32.2,734,33.4
WPG,53,0,,31,30,96.7741935483871,20,21,105.0,10,9,90.0,4,3,896,30.9,993,32.0
CFL,54,10,,294,260,88.43537414965986,176,169,96.0,117,91,77.8,35,24,"8,518",32.9,"10,084",34.3
