Team,Int,TD,LG,30+,0.0,0.0,0.0,2D_conversions,0.0,0.0,0.0,%_YAC,Avg_depth Yds_depth,0.0,0.0,0.0,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,14,23,78,17,0.0,0.0,0.0,79,0.0,0.0,0.0,30.5,"12.7 5,243",0.0,0.0,0.0,31,21,466,414,277,66.9,"3,693",99.4,3.4,8.9,"1,127",1.64,308
CGY,14,14,95,24,0.0,0.0,0.0,73,0.0,0.0,0.0,43.3,"9.1 4,000",0.0,0.0,0.0,24,14,477,439,278,63.3,"3,323",83.7,3.2,7.6,"1,439",1.00,256
EDM,16,15,102,20,0.0,0.0,0.0,52,0.0,0.0,0.0,43.4,"9.7 3,279",0.0,0.0,0.0,29,46,412,337,213,63.2,"2,891",85.6,4.7,8.6,"1,255",0.94,222
HAM,16,13,75,13,0.0,0.0,0.0,87,0.0,0.0,0.0,39.9,"10.7 4,303",0.0,0.0,0.0,34,21,456,401,261,65.1,"3,187",83.6,4.0,7.9,"1,272",0.81,266
MTL,12,11,69,23,0.0,0.0,0.0,72,0.0,0.0,0.0,47.7,"10.2 3,523",0.0,0.0,0.0,44,30,419,345,233,67.5,"3,130",92.3,3.5,9.1,"1,493",0.92,261
OTT,12,6,55,10,0.0,0.0,0.0,62,0.0,0.0,0.0,39.4,"9.6 3,212",0.0,0.0,0.0,43,52,431,336,221,65.8,"2,495",78.9,3.6,7.4,984,0.50,208
SSK,9,13,64,19,0.0,0.0,0.0,66,0.0,0.0,0.0,35.1,"10.7 4,338",0.0,0.0,0.0,37,21,465,407,270,66.3,"3,209",91.7,2.2,7.9,"1,126",1.44,267
TOR,10,19,76,22,0.0,0.0,0.0,61,0.0,0.0,0.0,40.2,"11.9 3,348",0.0,0.0,0.0,10,12,304,282,194,68.8,"2,970",111.0,3.5,10.5,"1,194",1.90,270
WPG,10,32,71,33,0.0,0.0,0.0,74,0.0,0.0,0.0,35.6,"12.6 4,575",0.0,0.0,0.0,26,7,397,364,246,67.6,"3,747",119.2,2.7,10.3,"1,335",3.20,288
CFL,113,146,102,181,0.0,0.0,0.0,626,0.0,0.0,0.0,39.2,"10.8 35,821",0.0,0.0,0.0,278,224,"3,827","3,325","2,193",66.0,"28,645",93.4,3.4,8.6,11225,1.29,521
