Team,,OPP_Tot,Diff Rnk,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,28,-1 5,27,2.08,4,17,2,1,3,5,17,3,3,0
CGY,,40,-6 6,34,2.62,3,24,4,2,1,13,16,6,2,3
EDM,,37,+7 4,44,3.14,16,22,2,3,1,8,22,5,2,0
HAM,,43,-11 7,32,2.46,6,13,2,8,3,11,27,2,2,1
MTL,,31,+9 3,40,3.08,7,25,4,3,1,10,18,2,0,1
OTT,,45,-21 9,24,1.85,10,10,4,0,0,6,33,4,0,2
SSK,,42,-12 8,30,2.31,4,20,3,3,0,8,26,4,2,2
TOR,,29,+15 2,44,3.67,10,24,9,1,0,0,15,4,9,1
WPG,,33,+20 1,53,3.79,10,36,2,3,2,9,17,2,4,1
CFL,,328,0,328,5.56,70,191,32,24,11,70,191,32,24,11
2022,,,,377,4.65,84,225,28,28,12,,,,,
2021,,,,277,3.42,62,170,21,12,12,,,,,
2019,,,,387,4.78,87,219,42,26,13,,,,,
2018,,,,435,5.37,101,264,33,26,11,,,,,
2017,,,,445,5.49,83,275,45,29,13,,,,,
