Team,,Team,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md,C2_%
BC,,BC,0 0,0,1 2,32,31,96.9,1,3,0,0.0
CGY,,CGY,0 2,0,0 6,20,19,95.0,1,6,2,33.3
EDM,,EDM,1 0,0,2 2,27,25,92.6,2,4,1,25.0
HAM,,HAM,0 3,1,2 5,21,17,81.0,4,8,4,50.0
MTL,,MTL,0 1,0,0 5,23,22,95.7,1,5,1,20.0
OTT,,OTT,1 4,0,1 6,21,21,100.0,0,7,5,71.4
SSK,,SSK,0 2,0,0 4,21,20,95.2,1,4,2,50.0
TOR,,TOR,1 1,0,2 2,44,41,93.2,3,4,2,50.0
WPG,,WPG,0 0,0,0 1,50,45,90.0,5,1,0,0.0
CFL,,CFL,3 13,1,8 33,259,241,93.1,18,42,17,40.5
