Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,2,,1,4,3,6,64,698,10.9,44,41,904,22.0,62,0,4,214,120,1,0,0,1,1
CGY,0,4,,2,5,1,7,64,783,12.2,54,52,"1,079",20.8,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,3,6,1,6,61,594,9.7,52,51,"1,055",20.7,72,0,4,80,30,0,0,0,0,0
HAM,0,2,,8,1,3,13,46,463,10.1,39,56,"1,352",24.1,71,1,4,215,79,0,0,1,0,1
MTL,1,4,,3,2,1,8,56,547,9.8,77,53,"1,226",23.1,79,0,3,83,60,0,1,0,0,1
OTT,1,4,,0,T7,0,4,64,658,10.3,79,53,"1,068",20.2,39,0,0,0,0,0,1,0,0,1
SSK,2,3,,3,3,0,6,69,747,10.8,94,59,"1,344",22.8,82,0,1,29,29,0,2,0,0,2
TOR,4,9,,1,9,0,10,67,"1,007",15.0,91,39,700,17.9,41,0,2,6,6,0,4,0,0,4
WPG,1,2,,3,T7,2,7,66,714,10.8,92,31,627,20.2,43,0,5,215,102,0,1,0,0,1
CFL,9,32,240,24,,11,67,557,"6,211",11.2,94,435,"9,355",21.5,82,1,26,977,120,1,9,1,1,11
