Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,47.0,80,6,3,1,3,8,75,"3,525",56,591,10.6,91,35.9,"2,694",(61),-130,+91,"2,594",34.6
CGY,48.2,77,4,9,4,6,3,90,"4,338",71,862,12.1,94,36.8,"3,316",(51),-115,+128,"3,278",36.4
EDM,45.6,85,6,3,0,5,9,93,"4,245",65,755,11.6,54,34.9,"3,250",(72),-220,+123,"3,081",33.1
HAM,44.8,78,1,5,1,2,T4,77,"3,452",60,602,10.0,77,36.5,"2,810",(17),-125,+60,"2,728",35.4
MTL,47.3,67,0,6,0,2,2,72,"3,408",60,583,9.7,48,39.2,"2,825",(0),-57,+38,"2,806",39.0
OTT,48.4,74,3,7,1,4,1,81,"3,920",65,620,9.5,79,39.3,"3,180",(48),-130,+78,"3,080",38.0
SSK,47.9,90,3,6,2,4,7,90,"4,309",73,937,12.8,92,36.1,"3,252",(35),-131,+25,"3,111",34.6
TOR,47.9,75,5,9,0,4,T4,72,"3,451",55,625,11.4,52,36.5,"2,626",(62),-60,+38,"2,542",35.3
WPG,46.4,73,2,9,0,2,6,71,"3,296",52,636,12.2,45,36.3,"2,580",(2),-70,+70,"2,578",36.3
CFL,47.1,90,30,57,9,32,,721,"33,944",557,"6,211",11.2,94,36.8,"26,533",(348),-1038,+651,"25,798",35.8
