Team,,C2,FG,Sgl,S/T,TM_TDs_FR,TM_TDs_PR,TM_TDs_KOR,TM_TDs_FGM,TD,C1,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,,0,34,7,0,2,0,0,1,35,31,6,26,0,70,109,55,116,0
CGY,,2,41,4,0,2,0,0,0,26,19,10,14,0,53,107,60,77,9
EDM,,1,19,8,1,0,0,0,0,31,25,12,17,2,50,87,69,74,0
HAM,,4,29,4,0,2,0,1,0,28,17,10,14,1,34,78,89,83,0
MTL,,1,34,2,0,1,1,0,0,28,22,10,12,4,60,72,66,98,0
OTT,,5,34,5,0,1,1,0,0,29,21,17,6,4,55,91,71,81,14
SSK,,2,32,5,0,0,2,0,0,25,20,7,16,0,57,58,78,68,14
TOR,,2,23,8,0,0,4,0,0,48,41,21,20,3,114,108,80,108,0
WPG,,0,30,3,2,0,1,0,0,51,45,15,34,1,96,129,121,93,9
CFL,,17,276,46,3,8,9,1,1,301,241,108,159,15,589,839,689,798,46
