Team,Team Oppt,Tot Rush Pass Pen,Opp F Rush Pass,1st_down_plays,1st_down_avg_yds,Opp_1st_dn_plays,Opp_1st_dn_avg_yds,1st_down_rush_calls,1st_down_pass_calls
BC,"3,176 2,509",297 81 191 25,264 90 148,448,7.09,414,6.06,152,296
CGY,"2,832 2,940",264 93 152 19,281 118 142,432,6.56,431,6.82,182,250
EDM,"3,087 3,139",269 108 135 26,314 118 167,429,7.2,463,6.78,203,226
HAM,"2,436 3,500",263 85 162 16,300 109 168,419,5.81,444,7.88,174,245
MTL,"2,718 2,571",266 85 156 25,277 98 155,421,6.46,431,5.97,179,242
OTT,"2,799 3,226",280 121 133 26,279 75 187,453,6.18,430,7.5,213,240
SSK,"2,429 3,191",266 85 166 15,275 110 146,433,5.61,436,7.32,150,283
TOR,"2,939 2,441",260 93 148 19,264 74 169,390,7.54,421,5.8,198,192
WPG,"3,362 2,261",310 115 167 28,221 74 128,448,7.5,403,5.61,215,233
CFL,"25,778","2475 866 1,410 199","2,475 866 1410","3,873",6.66,"3,873",6.66,"1,666","2,207"
