Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,14,"5,201",371.5,3,777,6.69,247,17,"4,283","1,191",-273,32%,66%,2%,477,36
CGY,14,"4,708",336.3,5,781,6.03,272,5,"3,594","1,335",-221,35%,65%,1%,476,28
EDM,15,"4,957",330.5,8,748,6.63,317,8,"3,256","1,958",-257,42%,57%,1%,385,38
HAM,14,"4,788",342.0,4,776,6.17,259,9,"3,757","1,271",-240,33%,65%,1%,469,39
MTL,14,"4,688",334.9,6,748,6.27,269,15,"3,656","1,376",-344,36%,62%,2%,414,50
OTT,14,"4,486",320.4,9,804,5.58,346,17,"2,971","1,900",-385,43%,55%,2%,392,49
SSK,14,"4,673",333.8,7,783,5.97,255,5,"3,758","1,174",-259,33%,67%,1%,479,44
TOR,13,"4,858",373.7,2,654,7.43,285,14,"3,485","1,472",-99,44%,54%,2%,343,12
WPG,14,"5,693",406.6,1,773,7.36,323,23,"4,091","1,850",-248,42%,55%,3%,399,28
CFL,63,"44,052",699.2,,"6,844",6.44,"2,573",113,"32,851","13,527","-2,326",38%,###,2%,"3,834",324
