Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,24,100,7,12%,197,24,35,7,25,4,106,9,39,4,18,4,7,3,2,0,66,34%
CGY,23,87,13,17%,192,32,33,4,29,3,110,15,31,6,11,4,7,2,4,2,64,33%
EDM,22,80,11,19%,198,37,40,8,38,1,105,19,35,9,11,4,9,4,0,0,64,32%
HAM,32,74,12,20%,191,38,29,6,27,2,93,22,42,7,11,0,16,6,2,1,54,28%
MTL,32,76,9,16%,189,31,36,5,28,3,114,14,22,3,12,4,12,5,1,0,63,33%
OTT,37,86,5,19%,197,38,30,1,30,2,109,22,36,8,12,2,9,4,1,0,62,31%
SSK,20,89,12,20%,200,39,36,4,26,4,114,21,33,5,11,4,13,4,3,1,66,33%
TOR,35,87,12,15%,186,28,20,4,33,2,117,16,19,4,10,4,7,2,0,0,68,37%
WPG,34,90,9,11%,190,20,31,6,29,3,98,10,40,2,12,1,9,2,2,2,74,39%
CFL,259,769,90,,"1,740",287,290,45,265,24,966,148,297,48,108,27,89,32,15,6,581,33%
