Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,329,243,73.9,2029,7,3,83.5,89,52,58.4,844,2,5,99.6,67,22,32.8,831,4,5,81.1
CGY,281,222,79.0,1873,2,6,99.8,86,41,47.7,676,7,3,52.3,68,24,35.3,976,3,14,141.5
EDM,240,184,76.7,1502,3,8,98.0,104,67,64.4,1220,4,3,98.2,80,38,47.5,1154,5,10,117.4
HAM,249,187,75.1,1814,5,6,94.7,112,67,59.8,1147,4,5,94.6,78,34,43.6,1138,8,9,94.9
MTL,321,238,74.1,1960,9,3,80.7,79,43,54.4,690,5,1,61.7,83,35,42.2,1117,6,11,107.4
OTT,268,213,79.5,2120,6,11,105.6,117,68,58.1,1170,6,3,79.4,84,37,44.0,1402,9,13,115.3
SSK,228,177,77.6,1666,4,5,97.2,90,58,64.4,1005,3,6,110.6,97,37,38.1,1286,6,15,114.9
TOR,333,274,82.3,2197,5,7,98.9,89,56,62.9,988,6,5,91.4,83,33,39.8,1027,9,13,93.8
WPG,273,196,71.8,1600,6,5,83.3,103,56,54.4,934,3,1,76.3,78,24,30.8,836,4,4,68.1
CFL,"2,522","1,934",76.7,"16,761",47,54,93.1,869,508,58.5,8674,40,32,85.5,718,284,39.6,"9,767",54,94,104.0
