,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
,BC,323,138,42.7,63,47,74.6,76,31,40.8,184,60,32.6,"2,511",7.77
,CGY,321,151,47.0,72,56,77.8,87,52,59.8,162,43,26.5,"2,355",7.34
,EDM,332,175,52.7,64,49,76.6,93,55,59.1,175,71,40.6,"2,310",6.96
,HAM,313,156,49.8,72,53,73.6,68,36,52.9,173,67,38.7,"2,226",7.11
,MTL,335,162,48.4,67,46,68.7,86,45,52.3,182,71,39.0,"2,381",7.11
,OTT,318,156,49.1,55,38,69.1,85,40,47.1,178,78,43.8,"2,400",7.55
,SSK,318,154,48.4,69,52,75.4,77,42,54.5,172,60,34.9,"2,314",7.28
,TOR,328,149,45.4,70,43,61.4,73,39,53.4,185,67,36.2,"2,475",7.55
,WPG,307,129,42.0,46,33,71.7,82,39,47.6,179,57,31.8,"2,372",7.73
,CFL,"2,895","1,370",47.3,578,417,72.1,727,379,52.1,"1,590",574,36.1,"21,344",7.37
