Team,Int,TD,LG,30+,,2D_conversions,,%_YAC,Avg_depth Yds_depth,,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,19,31,78,23,0.0,99,0.0,32.8,"12.4 6,376",0.0,40,32,585,513,346,67.4,"4,741",101.5,3.7,9.2,"1,554",1.63,316
CGY,16,15,95,25,0.0,91,0.0,43.1,"8.9 4,614",0.0,30,16,566,520,333,64.0,"3,840",83.0,3.1,7.4,"1,656",0.94,256
EDM,17,19,102,23,0.0,64,0.0,42.7,"9.7 3,732",0.0,38,57,480,385,247,64.2,"3,256",88.8,4.4,8.5,"1,391",1.12,217
HAM,20,17,75,18,0.0,108,0.0,38.8,"10.3 5,121",0.0,42,30,567,495,321,64.8,"3,996",84.4,4.0,8.1,"1,549",0.85,266
MTL,14,14,69,27,0.0,88,0.0,47.9,"9.7 4,220",0.0,54,33,521,434,300,69.1,"3,834",93.8,3.2,8.8,"1,836",1.00,256
OTT,15,8,55,11,0.0,79,0.0,40.7,"9.4 4,103",0.0,54,59,548,435,293,67.4,"3,303",81.6,3.4,7.6,"1,345",0.53,220
SSK,14,18,64,23,0.0,88,0.0,35.4,"10.6 5,571",0.0,47,23,594,524,348,66.4,"4,167",90.9,2.7,8.0,"1,474",1.29,278
TOR,12,23,76,26,0.0,71,0.0,40.6,"11.6 4,317",0.0,12,21,404,371,249,67.1,"3,716",106.9,3.2,10.0,"1,507",1.92,265
WPG,14,35,71,37,0.0,93,0.0,35.8,"12.6 5,428",0.0,29,10,471,432,289,66.9,"4,349",113.3,3.2,10.1,"1,556",2.50,290
CFL,141,180,102,213,0.0,781,0.0,39.4,"10.6 43,482",0.0,346,281,"4,736","4,109","2,726",66.3,"35,202",93.4,3.4,8.6,13868,1.28,525
