Team,,Team,% Md,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md
BC,,BC,0.0,0 0,0,1 2,41,40,97.6,1,3,0
CGY,,CGY,33.3,0 2,0,0 6,21,20,95.2,1,6,2
EDM,,EDM,25.0,1 0,0,2 2,31,29,93.5,2,4,1
HAM,,HAM,50.0,0 3,1,2 5,28,23,82.1,5,8,4
MTL,,MTL,20.0,0 1,0,0 5,33,32,97.0,1,5,1
OTT,,OTT,77.8,1 6,0,1 8,25,25,100.0,0,9,7
SSK,,SSK,50.0,0 3,0,0 6,27,25,92.6,2,6,3
TOR,,TOR,60.0,1 2,0,2 3,52,48,92.3,4,5,3
WPG,,WPG,33.3,0 1,0,0 3,53,48,90.6,5,3,1
CFL,,CFL,44.9,3 18,1,8 40,311,290,93.2,21,49,22
