Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,1,40,6,0,1,1,0,35,30,15,15,3,0,58,125,84,93,8
CGY,3,36,9,0,4,0,0,41,31,11,23,3,0,83,118,74,111,14
EDM,4,42,8,1,0,0,0,43,35,19,21,3,0,85,109,136,107,0
HAM,1,35,5,3,1,0,0,42,36,19,20,2,0,103,109,77,117,0
MTL,1,37,4,0,0,0,0,34,30,18,15,0,1,81,93,75,102,0
OTT,2,33,10,0,2,0,1,49,33,14,28,1,3,77,121,110,123,9
SSK,2,43,9,1,2,0,0,51,46,17,29,1,2,81,163,95,148,9
TOR,3,27,4,0,0,0,0,34,26,5,26,2,1,52,102,57,110,0
WPG,5,37,9,0,0,0,0,31,23,13,11,4,3,99,83,74,69,14
CFL,22,330,64,5,10,1,1,360,290,131,188,19,10,719,"1,023",782,980,54
