Team,,Diff,,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_Tot,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,+4,88.0,40,2.35,5,26,3,3,3,36,5,24,3,4,0
CGY,,-10,68.0,38,2.38,5,26,4,2,1,48,14,21,8,2,3
EDM,,+1,45.0,48,2.82,16,25,2,4,1,47,10,26,8,2,1
HAM,,-2,81.0,46,2.71,6,25,4,8,3,48,14,28,2,3,1
MTL,,+14,70.0,52,3.06,10,29,7,4,2,38,12,20,3,1,2
OTT,,-23,87.0,37,2.18,15,13,6,2,1,60,9,39,8,1,3
SSK,,-17,,40,2.35,7,25,4,3,1,57,10,37,5,3,2
TOR,,+16,,55,3.44,12,30,12,1,0,39,2,22,4,10,1
WPG,,+17,,56,3.50,10,39,2,3,2,39,10,21,3,4,1
CFL,,0,,412,5.49,86,238,44,30,14,412,86,238,44,30,14
