Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,398,23.4,28.2,+4.8,,CFL-Wide: 5.09,454,26.7,21.6,367,26.7,21.6,17,479,23.4,28.2
CGY,419,26.2,22.4,-3.8,,Offence 4.48,338,21.1,23.5,376,21.1,23.5,16,358,26.2,22.4
EDM,472,27.8,20.1,-7.6,,Return 0.61,321,18.9,25.8,439,18.9,25.8,17,342,27.8,20.1
HAM,439,25.8,22.8,-3.0,,- Kick 0.19,363,21.4,24.1,409,21.4,24.1,17,388,25.8,22.8
MTL,372,21.9,24.7,+2.8,,- Defence 0.43,354,20.8,21.5,366,20.8,21.5,17,420,21.9,24.7
OTT,480,28.2,23.1,-5.1,,,351,20.6,25.7,437,20.6,25.7,17,393,28.2,23.1
SSK,522,30.7,21.2,-9.5,,,340,20.0,28.2,480,20.0,28.2,17,361,30.7,21.2
TOR,348,21.8,33.4,+11.7,,,477,29.8,20.3,324,29.8,20.3,16,535,21.8,33.4
WPG,339,21.2,32.1,+10.9,,,496,31.0,18.5,296,31.0,18.5,16,513,21.2,32.1
CFL,"3,789",50.5,50.5,,,,"3,494",46.6,46.6,"3,494",46.6,46.6,75,"3,789",50.5,50.5
