Team,TOP,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL,Gp,Games_+,Games_-,avg_Gap
BC,29:31,234,"8,517",36.4,28,6,233,38.7,17,7,10,-2.3
CGY,29:37,227,"8,735",38.5,31,9,221,36.9,16,8,8,+1.5
EDM,29:25,226,"8,359",37.0,18,3,225,36.1,17,10,7,+0.9
HAM,31:14,227,"8,101",35.7,29,5,228,39.5,17,6,11,-3.8
MTL,30:00,222,"8,117",36.6,24,4,229,36.9,17,7,10,-0.3
OTT,31:01,243,"8,918",36.7,24,9,237,38.5,17,6,11,-1.8
SSK,28:53,242,"8,991",37.2,27,7,241,38.4,17,8,9,-1.3
TOR,28:08,217,"9,076",41.8,45,19,225,34.0,16,15,1,+7.8
WPG,32:09,217,"8,221",37.9,28,11,216,38.2,16,8,8,-0.3
CFL,,"2,055","77,035",37.5,254,73,"2,055",37.5,,,,
