Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,44,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,44,44.0,44,44.0
CGY,52,0,5,3,60.0,3,2,66.7,2,1,50.0,1,1,113,37.7,197,39.4
EDM,43,0,2,2,100.0,1,1,100.0,1,1,100.0,0,0,60,30.0,60,30.0
HAM,31,0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,31,31.0,31,31.0
MTL,48,0,4,4,100.0,1,1,100.0,3,3,100.0,0,0,171,42.8,171,42.8
OTT,42,0,4,4,100.0,2,2,100.0,2,2,100.0,0,0,138,34.5,138,34.5
SSK,46,1,4,3,75.0,3,2,66.7,1,1,100.0,0,0,70,23.3,103,25.8
TOR,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0
WPG,50,0,4,4,100.0,3,3,100.0,1,1,100.0,1,1,119,29.8,119,29.8
CFL,52,1,25,22,88.0,14,12,85.7,11,10,90.9,2,2,746,33.9,863,34.5
