Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL
BC,79,1,0,0,1,5,349,69.8,4,112,28.0,43,5,349,69.8,192,38.4
CGY,77,0,0,0,0,2,139,69.5,2,59,29.5,30,2,139,69.5,80,40.0
EDM,68,0,0,0,1,2,133,66.5,2,84,42.0,62,2,133,66.5,111,55.5
HAM,69,0,0,0,1,4,249,62.3,2,61,30.5,43,4,249,62.3,164,54.7
MTL,70,0,0,0,0,3,192,64.0,3,64,21.3,30,3,192,64.0,112,37.3
OTT,57,0,0,0,0,4,212,53.0,3,43,14.3,25,4,212,53.0,174,43.5
SSK,68,0,0,0,0,2,129,64.5,2,34,17.0,17,2,129,64.5,65,32.5
TOR,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,
WPG,71,0,0,0,1,7,431,61.6,7,161,23.0,40,7,431,61.6,280,40.0
CFL,79,1,0,0,4,29,"1,834",63.2,25,618,24.7,62,29,"1,834",63.2,"1,178",42.1
