Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,SA,Sack%,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,300,1,2,30,1,5,300,11.4,0,0%,3,39,36,28,77.8,108.6,2.8,8.3,109,2.00
CGY,165,1,1,21,0,6,165,8.3,3,8%,1,40,36,20,55.6,65.2,2.8,4.6,104,1.00
EDM,202,2,1,102,1,2,202,12.1,5,16%,1,31,25,13,52.0,59.1,8.0,8.1,118,0.50
HAM,200,2,1,47,2,3,200,14.9,3,8%,0,36,33,17,51.5,55.1,6.1,6.1,64,0.50
MTL,261,0,0,61,3,6,261,12.2,6,22%,1,27,20,14,70.0,114.8,0.0,13.1,121,0
OTT,177,3,0,44,1,6,177,12.7,1,3%,2,38,35,19,54.3,32.7,8.6,5.1,34,0.00
SSK,179,2,1,38,1,7,179,10.1,2,5%,1,37,34,20,58.8,58.3,5.9,5.3,64,0.50
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPG,354,0,3,47,4,9,354,13.7,1,3%,1,32,30,21,70.0,142.9,0.0,11.8,127,0
CFL,"1,838",11,9,102,13,44,460,11.8,21,8%,10,280,249,152,61.0,77.4,4.4,7.4,741,0.82
