Team,FGM,T/O,Punt,Oth,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,0,1,7,1,13,3,1,4,2,8,1,1,0,0,0,0,0,0,0,5,38%
CGY,2,1,6,1,14,1,3,1,0,6,1,5,0,1,0,0,0,1,0,5,36%
EDM,0,3,9,1,16,1,2,2,1,9,0,4,0,0,0,1,0,0,0,8,50%
HAM,0,4,7,1,15,2,1,2,0,7,1,3,0,1,0,1,0,1,1,7,47%
MTL,0,1,8,1,15,1,4,1,0,7,0,5,1,1,0,0,0,1,0,3,20%
OTT,0,5,6,0,15,0,4,4,0,10,0,1,0,0,0,0,0,0,0,10,67%
SSK,1,3,7,0,15,1,3,3,0,7,0,2,0,1,0,2,1,0,0,8,53%
TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WPG,0,4,3,1,16,4,4,1,0,6,2,7,2,1,0,1,0,0,0,5,31%
CFL,3,22,53,6,119,13,22,18,3,60,5,28,3,5,0,5,1,3,1,51,43%
