Team,PA,Avg,Avg,Diff,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,15,15.0,25.0,+10.0,24,24.0,15.0,15,24.0,15.0,1,25,15.0,25.0
CGY,25,25.0,15.0,-10.0,15,15.0,24.0,24,15.0,24.0,1,15,25.0,15.0
EDM,17,17.0,13.0,-4.0,13,13.0,17.0,17,13.0,17.0,1,13,17.0,13.0
HAM,42,42.0,31.0,-11.0,19,19.0,40.0,40,19.0,40.0,1,31,42.0,31.0
MTL,12,12.0,19.0,+7.0,19,19.0,12.0,12,19.0,12.0,1,19,12.0,19.0
OTT,19,19.0,12.0,-7.0,12,12.0,19.0,19,12.0,19.0,1,12,19.0,12.0
SSK,13,13.0,17.0,4.0,17,17.0,13.0,13,17.0,13.0,1,17,13.0,17.0
TOR,0,,0,,0,0,,,0,,0,0,,0
WPG,31,31.0,42.0,+11.0,40,40.0,19.0,19,40.0,19.0,1,42,31.0,42.0
CFL,174,43.5,43.5,,159,39.8,39.8,159,39.8,39.8,4,174,43.5,43.5
