Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,7,72,753,10.5,91,1,3,70,"1,363",19.5,82,1,4,2,42,22,0,0,1,1,0,2
CGY,,13,91,"1,053",11.6,94,4,8,55,"1,126",20.5,42,0,2,6,234,102,0,3,4,0,0,4
EDM,,12,85,"1,067",12.6,68,0,9,56,918,16.4,62,0,2,4,166,125,1,1,0,0,1,1
HAM,,6,75,706,9.4,77,1,2,56,"1,132",20.2,49,0,3,3,47,30,0,1,1,0,0,1
MTL,,6,75,741,9.9,48,0,3,63,"1,373",21.8,42,0,1,8,178,69,0,2,0,0,0,0
OTT,,12,87,952,10.9,107,2,8,54,"1,063",19.7,50,0,1,4,282,120,1,3,2,0,1,3
SSK,,11,89,"1,174",13.2,92,2,6,53,"1,017",19.2,43,0,3,6,228,86,0,2,2,0,0,2
TOR,,15,80,850,10.6,52,0,4,84,"2,217",26.4,93,1,10,2,79,60,0,1,0,1,0,1
WPG,,10,58,768,13.2,48,0,4,87,"2,176",25.0,98,1,5,4,110,67,0,1,0,1,0,1
CFL,320,92,712,"8,064",11.3,107,10,47,578,"12,385",21.4,98,3,31,39,"1,366",125,2,14,10,3,2,15
