Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,15,20,71,25,97,1.33,252,41.1,"1,864",9.6,"5,605",55,29,669,585,385,65.8,"4,531",89.9,2.6,7.7,41.1,"1,864"
CGY,17,24,76,22,80,1.41,238,41.5,"1,676",9.6,"4,824",43,38,582,501,333,66.5,"4,038",92.9,3.4,8.1,41.5,"1,676"
EDM,13,25,70,27,109,1.92,252,36.1,"1,636",10.8,"5,352",39,29,563,495,344,69.5,"4,531",104.0,2.6,9.2,36.1,"1,636"
HAM,19,22,70,28,100,1.16,272,38.8,"1,790",11.0,"5,540",38,38,578,502,331,65.9,"4,616",94.2,3.8,9.2,38.8,"1,790"
MTL,20,17,68,20,120,0.85,244,36.5,"1,511",10.1,"5,461",39,30,608,539,351,65.1,"4,145",83.4,3.7,7.7,36.5,"1,511"
OTT,22,29,95,39,108,1.32,310,41.4,"2,183",10.7,"5,727",43,38,615,534,369,69.1,"5,274",101.8,4.1,9.9,41.4,"2,183"
SSK,15,31,102,39,98,2.07,274,41.5,"2,047",11.8,"6,024",37,42,588,509,337,66.2,"4,929",105.6,2.9,9.7,41.5,"2,047"
TOR,25,29,84,26,112,1.16,299,42.1,"2,143",9.7,"5,871",65,35,703,603,428,71.0,"5,090",95.2,4.1,8.4,42.1,"2,143"
WPG,13,11,80,25,87,0.85,236,35.7,"1,430",11.5,"5,843",51,46,606,509,307,60.3,"4,010",81.7,2.6,7.9,35.7,"1,430"
CFL,159,208,102,251,911,1.31,528,39.5,16280,10.5,"50,247",410,325,"5,512","4,777","3,185",66.7,"41,164",94.2,3.3,8.6,39.5,16280
