Team,Int,TD,LG,30+,,2D_conversions,,Yds_per_game,Dropbacks,Atts Runs,,SA SA%,Att,Com,complete%,Yards,Effic,IC%,YAC,YAC%,TDI,Avg
BC,24,35,78,27,0.0,122,0.0,315,703,613 37,0.0,53 8%,613,413,67.4,"5,672",99.5,3.9,"1,892",33%,1.46,9.3
CGY,16,18,95,27,0.0,99,0.0,244,620,570 18,0.0,32 5%,570,360,63.2,"4,147",83.9,2.8,"1,786",43%,1.13,7.3
EDM,19,22,102,29,0.0,75,0.0,221,590,468 70,0.0,52 9%,468,299,63.9,"3,980",89.5,4.1,"1,687",42%,1.16,8.5
HAM,22,23,88,25,0.0,127,0.0,277,636,558 34,0.0,44 7%,558,368,65.9,"4,711",89.5,3.9,"1,931",41%,1.05,8.4
MTL,16,16,69,29,0.0,97,0.0,257,594,495 41,0.0,58 10%,495,351,70.9,"4,364",95.2,3.2,"2,086",48%,1.00,8.8
OTT,16,9,55,13,0.0,89,0.0,217,613,483 62,0.0,68 11%,483,323,66.9,"3,694",82.1,3.3,"1,499",41%,0.56,7.6
SSK,18,20,64,29,0.0,110,0.0,280,714,631 29,0.0,54 8%,631,419,66.4,"5,047",89.4,2.9,"1,772",35%,1.11,8.0
TOR,13,25,76,32,0.0,89,0.0,270,507,463 27,0.0,17 3%,463,312,67.4,"4,592",105.9,2.8,"1,792",39%,1.92,9.9
WPG,15,40,71,40,0.0,103,0.0,292,540,496 12,0.0,32 6%,496,340,68.5,"4,957",115.1,3.0,"1,835",37%,2.67,10.0
CFL,159,208,102,251,0.0,911,0.0,528,"5,517","4,777 330",0.0,410 7%,"4,777","3,185",66.7,"41,164",94.2,3.3,"16,280",40%,1.31,8.6
