Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,10,35,5,77.3,45,7,297,"1,391",4.7,185,893,4.8,86,420,37,346,"1,787",5.2,18
CGY,14,45,7,98.6,58,14,332,"1,676",5.0,218,"1,110",5.1,68,254,18,361,"2,074",5.7,13
EDM,15,73,17,123.6,66,10,367,"2,224",6.1,231,"1,492",6.5,129,878,70,431,"2,459",5.7,21
HAM,11,56,6,97.3,56,14,330,"1,654",5.0,225,"1,118",5.0,68,388,34,363,"1,937",5.3,19
MTL,14,40,10,103.6,61,12,338,"1,761",5.2,219,"1,160",5.3,102,514,41,331,"1,892",5.7,19
OTT,22,71,15,127.8,40,9,390,"2,172",5.6,261,"1,422",5.4,138,841,62,333,"1,476",4.4,16
SSK,14,46,7,84.4,70,12,342,"1,519",4.4,203,959,4.7,85,334,29,413,"2,208",5.3,20
TOR,29,54,14,117.6,43,2,370,"1,999",5.4,256,"1,374",5.4,67,335,27,321,"1,381",4.3,7
WPG,19,63,10,137.1,44,11,411,"2,331",5.7,264,"1,539",5.8,70,254,12,278,"1,513",5.4,15
CFL,148,483,91,214.4,483,91,"3,177","16,727",5.27,"2,062",###,5.37,813,"4,218",330,"3,177",16727,5.3,148
