Team,TOP,Yds Diff,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_YdL
BC,29:32,-3.5,247,"8,916",36.1,28,6,246,39.6
CGY,29:39,+2.8,240,"9,445",39.4,36,12,234,36.6
EDM,28:57,+0.6,238,"8,782",36.9,18,3,237,36.3
HAM,31:14,-3.8,227,"8,101",35.7,29,5,228,39.5
MTL,30:00,-0.3,222,"8,117",36.6,24,4,229,36.9
OTT,31:01,-1.8,243,"8,918",36.7,24,9,237,38.5
SSK,28:57,-1.7,257,"9,473",36.9,27,7,256,38.5
TOR,28:14,+7.9,232,"9,687",41.8,46,19,240,33.9
WPG,32:33,0.0,229,"8,717",38.1,29,11,228,38.0
CFL,,0.0,"2,135","80,156",37.5,261,76,"2,135",37.5
