Team,GP,Record_W,Record_L,Pct,Home_W,Home_L,Away_W,Away_L,Scoring_PF,Scoring_PA,Scoring_Diff
BC,18,12,6,0.667,6,3,6,3.0,495.0,439.0,56.0
CGY,18,6,12,0.333,3,6,3,6.0,412.0,471.0,-59.0
EDM,18,4,14,0.222,2,7,2,7.0,367.0,517.0,-150.0
HAM,18,8,10,0.444,3,6,5,4.0,408.0,461.0,-53.0
MTL,18,11,7,0.611,5,4,6,3.0,442.0,392.0,50.0
OTT,18,4,14,0.222,3,6,1,8.0,415.0,507.0,-92.0
SSK,18,6,12,0.333,4,5,2,7.0,387.0,551.0,-164.0
TOR,18,16,2,0.889,9,0,7,2.0,591.0,396.0,195.0
WPG,18,14,4,0.778,8,1,6,3.0,594.0,377.0,217.0
2023 Total,81,81,81,43.0,38,38,43,,50.8,,
In 2022,81,81,81,37.0,44,44,37,,50.4,,
