Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,18,"5,918",328.8,992,5.97,346,6,"4,531","1,787",-400,35%,65%,1%,585,55
CGY,18,"6,284",349.1,999,6.29,398,31,"4,344","2,246",-306,40%,57%,3%,526,44
EDM,18,"6,762",375.7,989,6.84,431,24,"4,531","2,459",-228,44%,54%,2%,495,39
HAM,18,"6,445",358.1,966,6.67,379,20,"4,752","2,016",-323,39%,59%,2%,526,41
MTL,18,"5,972",331.8,972,6.14,347,16,"4,304","1,978",-310,36%,63%,2%,568,41
OTT,18,"6,798",377.7,982,6.92,352,17,"5,591","1,523",-316,36%,62%,2%,568,45
SSK,18,"6,864",381.3,980,7.00,413,21,"4,929","2,208",-273,42%,56%,2%,509,37
TOR,18,"6,406",355.9,"1,052",6.09,342,4,"5,363","1,505",-462,33%,67%,0%,638,68
WPG,18,"5,378",298.8,883,6.09,292,10,"4,129","1,628",-379,33%,66%,1%,528,53
CFL,81,"56,827",701.6,"8,815",6.45,"3,300",149,"42,474","17,350","-2,997",37%,###,2%,"4,943",423
