Team,Yards,Int,TD,LG,30+,2D_conversions,Avg,Yds_per_game,Dropbacks,Atts Runs,,SA SA%,Att,Com,complete%,Effic,IC%,YAC,YAC%,TDI
BC,"5,672",24,35,78,27,122,9.3,315,703,613 37,0.0,53 8%,613,413,67.4,99.5,3.9,"1,892",33%,1.46
CGY,"4,266",16,19,95,28,102,7.2,237,641,589 18,0.0,34 5%,589,368,62.5,83.8,2.7,"1,841",43%,1.19
EDM,"3,980",19,22,102,29,75,8.5,221,590,468 70,0.0,52 9%,468,299,63.9,89.5,4.1,"1,687",42%,1.16
HAM,"4,870",24,23,88,27,131,8.3,271,668,587 35,0.0,46 7%,587,383,65.2,87.0,4.1,"1,991",41%,0.96
MTL,"4,500",16,17,69,29,97,8.7,250,623,519 43,0.0,61 10%,519,367,70.7,95.2,3.1,"2,163",48%,1.06
OTT,"3,967",18,11,55,15,94,7.7,220,656,518 67,0.0,71 11%,518,345,66.6,82.1,3.5,"1,615",41%,0.61
SSK,"5,047",18,20,64,29,110,8.0,280,714,631 29,0.0,54 8%,631,419,66.4,89.4,2.9,"1,772",35%,1.11
TOR,"4,909",15,26,76,35,95,9.9,273,546,497 30,0.0,19 3%,497,334,67.2,104.1,3.0,"1,926",39%,1.73
WPG,"5,263",15,42,71,43,110,10.1,292,569,521 15,0.0,33 6%,521,357,68.5,116.2,2.9,"1,932",37%,2.80
CFL,"42,474",165,215,102,262,936,8.6,524,"5,710","4,943 344",0.0,423 7%,"4,943","3,285",66.5,93.9,3.3,"16,819",40%,1.30
