Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,40,97,12,18%,247,45,50,41,4,144,31,34,4,16,3,10,1,2,2,71,29%
CGY,8,28,122,8,13%,251,33,52,31,3,143,14,40,4,14,5,17,4,6,3,89,35%
EDM,6,41,121,10,16%,238,37,23,26,3,153,23,41,8,12,2,6,1,0,0,78,33%
HAM,6,45,102,13,14%,243,35,42,46,3,127,19,40,8,20,4,8,0,2,1,85,35%
MTL,14,32,103,13,13%,239,31,46,41,4,116,13,54,9,14,2,12,3,2,0,76,32%
OTT,7,43,117,17,13%,259,33,42,42,1,148,18,42,4,13,5,10,4,4,1,93,36%
SSK,8,46,117,12,13%,257,34,40,38,4,145,17,47,6,14,1,12,5,1,1,81,32%
TOR,3,25,110,15,22%,249,56,40,30,4,116,24,54,8,22,7,24,11,3,2,77,31%
WPG,5,34,78,16,26%,241,62,46,26,5,142,33,43,13,18,5,11,6,1,0,71,29%
CFL,60,334,967,116,,"2,224",366,381,321,31,1234,192,395,64,143,34,110,35,21,10,721,32%
