Team,GP,W,L,Pct,PF,PA,Diff,HOME_W,HOME_L,AWAY_W,AWAY_L,LAST-3:00_W,LAST-3:00_L,0-4_W,0-4_L,5-10_W,5-10_L,11-19_W,11-19_L,20+_W,20+_L
BC,2,2,0,1.0,47.0,15.0,32.0,1,0,1,0,1,0,0,0,1.0,0.0,0,0.0,1,0.0
CGY,2,1,1,0.5,41.0,40.0,1.0,0,1,1,0,1,1,0,0,0.0,1.0,1,0.0,0,0.0
EDM,2,0,2,0.0,13.0,39.0,-26.0,0,1,0,1,0,1,0,1,0.0,0.0,0,0.0,0,1.0
HAM,2,0,2,0.0,45.0,74.0,-29.0,0,0,0,2,0,0,0,0,0.0,0.0,0,2.0,0,0.0
MTL,1,1,0,1.0,19.0,12.0,7.0,1,0,0,0,1,0,0,0,1.0,0.0,0,0.0,0,0.0
OTT,2,0,2,0.0,27.0,45.0,-18.0,0,1,0,1,0,2,0,0,0.0,1.0,0,1.0,0,0.0
SSK,2,1,1,0.5,44.0,58.0,-14.0,0,1,1,0,1,0,1,0,0.0,0.0,0,1.0,0,0.0
TOR,1,1,0,1.0,32.0,14.0,18.0,1,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0,0.0
WPG,2,2,0,1.0,87.0,58.0,29.0,1,0,1,0,0,0,0,0,0.0,0.0,2,0.0,0,0.0
2023 Total,8,8,8,0.5,44.4,,,4,4,4,4,4,4,1,2,,,4,,1,
