Team,GP,Yards,yds_per_game,Rank,Off_plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,2,852,426.0,2,126,6.76,49,5,624,242,-14,39%,57%,4%,71,1
CGY,2,675,337.5,5,113,5.97,36,3,497,205,-27,32%,65%,3%,69,5
EDM,2,394,197.0,9,81,4.86,28,0,305,127,-38,35%,65%,0%,47,6
HAM,2,569,284.5,6,108,5.27,31,1,479,136,-46,29%,70%,1%,71,5
MTL,1,265,265.0,7,50,5.30,22,2,261,64,-60,44%,52%,4%,20,6
OTT,2,483,241.5,8,104,4.64,25,3,415,96,-28,24%,73%,3%,73,3
SSK,2,750,375.0,3,116,6.47,36,0,592,183,-25,31%,69%,0%,75,5
TOR,1,341,341.0,4,48,7.10,24,0,238,110,-7,50%,50%,0%,23,1
WPG,2,874,437.0,1,122,7.16,53,6,647,261,-34,43%,52%,5%,61,2
CFL,8,"5,203",650.4,,868,5.99,304,20,"4,058","1,424",-279,35%,63%,2%,510,34
