Team,Int,TD,LG,30+,2D_conversions,TDI,yds_per_game,GP,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,Dropbacks,SA%,SA,Esc_runs
BC,1,1,21,0,9,1.00,8.3,2,58,33,56.9,268,67.3,1.7,4.6,158,64,6%,4,2
CGY,3,2,50,2,10,0.67,10.5,2,74,49,66.2,538,79.7,4.1,7.3,223,80,3%,2,4
EDM,3,2,38,2,16,0.67,10.9,2,69,45,65.2,503,78.4,4.3,7.3,152,75,4%,3,3
HAM,0,3,59,5,13,0,12.7,2,53,35,66.0,592,122.5,0.0,11.2,240,56,4%,2,1
MTL,3,0,44,1,6,0.00,12.7,1,35,19,54.3,177,32.7,8.6,5.1,34,38,3%,1,2
OTT,1,0,61,7,12,0.00,10.4,2,53,36,67.9,593,97.4,1.9,11.2,328,62,13%,8,1
SSK,2,3,102,3,11,1.50,12.4,2,56,36,64.3,495,95.5,3.6,8.8,209,66,9%,6,4
TOR,2,1,29,0,7,0.50,10.1,1,38,29,76.3,279,83.1,5.3,7.3,92,41,5%,2,1
WPG,2,4,47,5,11,2.00,13.0,2,74,46,62.2,613,95.2,2.7,8.3,191,83,7%,6,3
CFL,17,16,102,25,95,0.94,11.2,8,510,328,64.3,"4,058",85.4,3.3,8.0,"1,627",565,###,34,21
