Team 0-9_yds_2TM 0-9_yds_Att 0-9_yds_Com 0-9_yds_% 0-9_yds_Yds 0-9_yds_2 0-9_yds_Int 0-9_yds_TD 0-9_yds_Effic,10-19_yds_Att 10-19_yds_Com 10-19_yds_% 10-19_yds_Yds 10-19_yds_2 10-19_yds_Int 10-19_yds_TD 10-19_yds_Effic,20+_yds_Att 20+_yds_Com 20+_yds_% 20+_yds_Yds,20+_yds_Int 20+-yds_TD 20+_yds_Effic
BC 44 31 70.5 247 0 0 84.2,6 2 33.3 21 0 1 100.0,8 0 0.0 0,1 0 -50.0
CGY 45 37 82.2 299 0 0 98.3,15 9 60.0 136 3 1 28.8,14 3 21.4 103,0 1 74.4
EDM 37 29 78.4 190 1 1 86.5,17 11 64.7 195 0 0 103.8,15 5 33.3 118,2 1 29.3
HAM 24 19 79.2 196 0 1 116.0,18 11 61.1 203 0 0 100.0,11 5 45.5 193,0 2 173.7
MTL 20 14 70.0 74 0 0 75.8,9 4 44.4 59 0 0 66.4,6 1 16.7 44,3 0 -161.8
OTT 32 27 84.4 369 0 0 120.4,12 4 33.3 61 1 0 16.3,9 5 55.6 163,0 0 123.8
SSK 29 23 79.3 181 0 0 94.2,16 10 62.5 165 1 2 112.8,11 3 27.3 149,1 1 73.7
TOR 22 19 86.4 119 0 0 96.6,9 8 88.9 132 0 0 137.3,7 2 28.6 28,2 1 -28.9
WPG 39 29 74.4 242 2 1 77.1,16 10 62.5 143 0 1 112.2,19 7 36.8 228,0 2 117.9
"CFL 292 228 78.1 1,917 3 3 93.7",118 69 58.5 1115 5 5 86.7,"100 31 31.0 1,026",9 8 59.8
