1-3_yds_%,4-6_yds_%,7+_yds_%,Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
81.8,61.9,29.4,BC,49,27,55.1,11,9,21,13,17,5,296,6.04
80.0,33.3,36.0,CGY,47,21,44.7,10,8,12,4,25,9,337,7.17
50.0,60.0,13.6,EDM,35,10,28.6,8,4,5,3,22,3,287,8.20
80.0,60.0,20.0,HAM,40,15,37.5,5,4,10,6,25,5,297,7.43
66.7,40.0,35.7,MTL,22,9,40.9,3,2,5,2,14,5,183,8.32
71.4,37.5,22.2,OTT,42,14,33.3,7,5,8,3,27,6,307,7.31
50.0,62.5,50.0,SSK,48,25,52.1,10,5,8,5,30,15,356,7.42
66.7,50.0,41.7,TOR,19,9,47.4,3,2,4,2,12,5,170,8.95
75.0,68.8,54.5,WPG,46,29,63.0,8,6,16,11,22,12,305,6.63
69.2,55.1,33.5,CFL,348,159,45.7,65,45,89,49,194,65,"2,538",7.29
