Team,TOP,Gap,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,34:55,-13.0,26,745,28.7,1,0,25,"1,041",41.6
CGY,27:28,+3.2,30,"1,164",38.8,3,1,29,"1,032",35.6
EDM,25:11,+2.0,27,946,35.0,1,0,28,925,33.0
HAM,33:30,-2.7,29,"1,072",37.0,5,2,29,"1,150",39.7
MTL,32:45,+14.1,15,648,43.2,2,0,15,436,29.1
OTT,29:15,-2.9,31,"1,099",35.5,3,0,31,"1,189",38.4
SSK,30:22,+0.6,26,953,36.7,4,2,27,973,36.0
TOR,28:05,+3.5,13,457,35.2,3,1,14,443,31.6
WPG,28:56,+2.4,27,"1,138",42.1,3,1,26,"1,033",39.7
CFL,,,224,"8,222",36.7,25,7,224,"8,222",36.7
