Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,Offensive_giveaways,Return_giveaways,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,0,3,6,2,(1),0,0,1,2,2,1,3,3
CGY,0,3,3,2,(1),1,+4,1,2,3,3,7,21
EDM,1,5,6,4,(1),1,-1,2,2,0,3,4,0
HAM,1,6,31,6,(0),1,-1,2,3,4,0,5,21
MTL,0,1,0,1,(0),2,+4,1,0,0,3,5,3
OTT,3,10,18,9,(1),0,-7,2,5,2,1,3,3
SSK,3,5,3,5,(0),1,-2,0,2,0,2,3,3
TOR,0,0,0,0,(0),0,+2,0,0,0,2,2,14
WPG,1,5,21,4,(1),3,+1,4,0,2,1,6,20
CFL,9,38,88,33,(5),9,2022,13,16,13,16,38,88
