Team,GP,Yards,yds_per_game,Off_plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,3,635,211.7,145,4.38,43,0,482,230,-77,30%,70%,0%,91,11
CGY,3,"1,105",368.3,175,6.31,61,5,813,326,-34,35%,62%,3%,104,5
EDM,3,"1,193",397.7,184,6.48,85,4,767,448,-22,46%,52%,2%,92,3
HAM,3,"1,160",386.7,160,7.25,69,7,884,339,-63,43%,53%,4%,78,6
MTL,2,581,290.5,112,5.19,25,2,522,92,-33,22%,76%,2%,82,3
OTT,2,691,345.5,111,6.23,45,5,593,174,-76,41%,55%,5%,53,8
SSK,3,"1,056",352.0,165,6.40,64,3,786,308,-38,39%,59%,2%,92,6
TOR,2,634,317.0,110,5.76,34,1,577,121,-64,31%,68%,1%,67,8
WPG,3,984,328.0,156,6.31,42,1,850,206,-72,27%,72%,1%,104,9
CFL,12,"8,039",669.9,"1,318",6.10,468,28,"6,274","2,244",-479,36%,62%,2%,763,59
