Team,C1,C2,FG,Sgl,S/T,FR,PR,KOR,FGM,TD,Team_TDs_Rush,Team_TDs_Pass,Team_TDs_Int,Team_points_Q1,Team_points_Q2,Team_points_Q3,Team_points_Q4,Team_points_OT
BC,6,0,9,2,0,0,0,0,0,7,2,5,0,14,25,17,21,0
CGY,4,1,8,1,0,1,0,0,0,6,3,2,0,11,13,17,23,3
EDM,3,1,3,0,0,0,0,0,0,5,0,4,1,10,17,3,14,0
HAM,1,2,5,1,0,2,0,0,0,6,2,2,0,10,9,16,22,0
MTL,6,0,5,0,0,0,1,0,0,6,2,2,1,17,14,10,16,0
OTT,0,1,6,1,0,0,1,0,0,1,0,0,0,1,17,3,6,0
SSK,5,0,8,2,0,0,0,0,0,7,2,5,0,17,10,28,12,6
TOR,8,1,3,2,0,0,0,0,0,9,7,1,1,15,25,18,17,0
WPG,9,0,7,1,1,0,1,0,0,10,4,5,0,27,25,24,17,0
CFL,42,6,54,10,1,3,3,0,0,57,22,26,3,122,155,136,148,9
