20+_yds_Effic,Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+-yds_TD
4.2,BC,83,61,73.5,473,1,0,82.1,20,12,60.0,189,0,2,124.8,18,2,11.1,69,1,0
87.0,CGY,63,52,82.5,452,1,0,94.1,22,13,59.1,214,3,1,50.2,19,4,21.1,147,0,2
64.8,EDM,60,47,78.3,382,2,2,91.1,29,17,58.6,344,1,0,86.0,23,8,34.8,226,2,2
175.5,HAM,38,32,84.2,356,0,2,128.8,24,14,58.3,262,0,0,96.2,16,8,50.0,266,0,3
66.8,MTL,65,44,67.7,286,1,0,70.4,18,6,33.3,96,2,0,5.8,23,9,39.1,317,3,2
68.8,OTT,46,38,82.6,446,0,0,111.3,24,9,37.5,154,2,0,25.3,16,8,50.0,216,2,1
26.8,SSK,49,36,73.5,374,1,1,93.4,28,16,57.1,263,2,2,82.9,15,3,20.0,149,2,1
92.8,TOR,61,52,85.2,418,1,2,105.8,18,12,66.7,199,4,0,11.1,27,12,44.4,348,4,5
125.3,WPG,68,52,76.5,401,2,2,87.9,33,19,57.6,312,1,1,86.9,30,12,40.0,407,0,3
82.0,CFL,533,414,77.7,"3,588",9,9,93.5,216,118,54.6,2033,15,6,67.1,187,66,35.3,"2,145",14,19
