Team,T/O,Punt,Oth,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,8,30,2,54,4,8,2,4,0,33,1,11,0,5,3,0,0,1,0,18,33%
CGY,7,21,4,46,6,6,2,10,2,20,2,9,1,1,0,4,0,2,1,19,41%
EDM,7,21,5,57,8,14,2,15,0,24,3,11,2,3,1,4,2,0,0,16,28%
HAM,4,18,3,42,11,6,0,11,2,14,5,10,2,2,0,5,2,0,0,14,33%
MTL,11,18,2,42,2,9,0,7,1,27,0,5,0,3,1,0,0,0,0,18,43%
OTT,6,28,2,45,4,5,0,7,0,26,1,8,1,2,1,1,1,1,0,14,31%
SSK,6,19,3,43,8,7,0,5,1,22,5,12,1,0,0,4,1,0,0,16,37%
TOR,13,19,3,45,8,2,0,6,0,30,5,4,1,4,1,1,1,0,0,16,36%
WPG,10,24,1,52,8,7,2,8,0,27,5,11,0,2,1,2,0,2,2,18,35%
CFL,72,198,25,426,59,64,8,73,6,223,27,81,8,22,8,21,7,6,3,149,35%
