Team,TD,10+,20+,yds_per_game,Opp_rush_TD_TD,Opp_rush_10+,Opp_rush_20+,Atts,Yards,Avg,1st_down_rush_Atts,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Atts,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg
BC,2,9,2,97,2,8,1,81,386,4.8,51,251,4.9,27,115,9,65,336,5.2
CGY,3,12,1,108,3,11,1,60,324,5.4,45,231,5.1,16,64,5,61,326,5.3
EDM,0,7,2,59,4,15,4,56,234,4.2,35,154,4.4,21,71,6,115,656,5.7
HAM,2,6,0,58,6,8,2,40,174,4.4,27,123,4.6,8,34,3,69,339,4.9
MTL,2,4,1,80,0,6,1,54,241,4.5,37,157,4.2,15,66,6,52,277,5.3
OTT,1,7,2,101,3,5,1,55,304,5.5,39,164,4.2,12,72,5,59,230,3.9
SSK,2,10,2,115,4,12,1,64,344,5.4,35,179,5.1,13,71,5,64,308,4.8
TOR,9,12,1,137,1,6,0,83,410,4.9,58,290,5.0,17,85,1,48,173,3.6
WPG,4,13,2,132,2,9,2,98,527,5.4,64,387,6.0,13,44,4,58,299,5.2
CFL,25,80,13,196,25,80,13,591,"2,944",4.98,391,1936,4.95,142,622,44,591,"2,944",4.98
