Team,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_40+,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,1,0,2,3,26,247,9.5,44,12,280,23.3,38,0,2,82,48,0,0,0,0,0
CGY,0,0,1,0,1,21,183,8.7,26,15,313,20.9,43,0,2,49,25,0,0,0,0,0
EDM,0,2,1,0,3,25,260,10.4,52,14,304,21.7,72,0,1,20,20,0,0,0,0,0
HAM,0,0,1,0,1,17,132,7.8,26,22,490,22.3,40,0,0,0,0,0,0,0,0,0
MTL,1,1,0,0,1,17,179,10.5,77,17,327,19.2,32,0,0,0,0,0,1,0,0,1
OTT,1,2,0,0,2,29,301,10.4,79,11,223,20.3,31,0,0,0,0,0,1,0,0,1
SSK,0,0,2,0,2,21,217,10.3,20,14,340,24.3,62,0,1,29,29,0,0,0,0,0
TOR,1,1,0,0,1,17,213,12.5,91,12,147,12.3,21,0,0,0,0,0,1,0,0,1
WPG,1,1,3,1,5,25,324,13.0,92,13,306,23.5,43,0,3,170,102,0,1,0,0,1
CFL,4,8,8,3,19,198,"2,056",10.4,92,130,"2,730",21.0,72,0,9,350,102,0,4,0,0,4
