Team,Int,TD,LG,30+,2D_conversions,TDI,yds_per_game,GP,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,Dropbacks,SA,Esc_runs
BC,2,2,47,4,26,1.00,9.4,5,161,100,62.1,"1,028",79.4,1.2,6.4,452,189,21,7
CGY,4,5,68,5,18,1.25,10.2,4,132,89,67.4,"1,044",91.2,3.0,7.9,514,146,9,5
EDM,6,5,54,9,28,0.83,11.0,5,141,91,64.5,"1,244",86.7,4.3,8.8,442,156,8,7
HAM,3,5,59,8,28,1.67,10.9,4,109,74,67.9,"1,070",103.4,2.8,9.8,459,125,11,5
MTL,6,3,68,7,26,0.50,11.6,4,132,80,60.6,990,72.5,4.5,7.5,295,144,7,5
OTT,5,2,64,9,23,0.40,10.6,4,112,74,66.1,"1,049",83.5,4.5,9.4,499,130,14,4
SSK,6,4,102,7,22,0.67,10.4,4,121,72,59.5,"1,012",76.9,5.0,8.4,494,139,6,12
TOR,9,7,84,3,17,0.78,11.5,3,106,76,71.7,965,86.4,8.5,9.1,369,122,11,5
WPG,4,6,69,8,27,1.50,11.8,5,160,98,61.3,"1,247",87.7,2.5,7.8,360,186,16,10
CFL,45,39,102,60,215,0.87,10.8,19,"1,174",754,64.2,"9,649",85.0,3.8,8.2,"3,884","1,337",103,60
