Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,110,44,40.0,18,11,61.1,32,17,53.1,60,16,26.7,873,7.94
CGY,91,42,46.2,16,13,81.3,31,19,61.3,44,10,22.7,640,7.03
EDM,118,64,54.2,28,22,78.6,29,14,48.3,61,28,45.9,775,6.57
HAM,85,44,51.8,14,10,71.4,22,13,59.1,49,21,42.9,628,7.39
MTL,89,39,43.8,16,11,68.8,16,9,56.3,57,19,33.3,677,7.61
OTT,91,40,44.0,19,14,73.7,19,6,31.6,53,20,37.7,695,7.64
SSK,93,46,49.5,20,14,70.0,21,10,47.6,52,22,42.3,648,6.97
TOR,58,25,43.1,7,4,57.1,15,8,53.3,36,13,36.1,475,8.19
WPG,104,45,43.3,20,13,65.0,21,12,57.1,63,20,31.7,804,7.73
CFL,839,389,46.4,158,112,70.9,206,108,52.4,475,169,35.6,"6,215",7.41
