Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"1,540",8,9,68,6,31,308,12.6,10,10,186,166,118,71.1,98.0,4.8,9.3,511,1.13
CGY,915,6,2,56,6,22,229,9.1,7,6,147,134,76,56.7,64.1,4.5,6.8,490,0.33
EDM,"1,052",7,5,102,5,20,210,9.4,16,10,164,138,85,61.6,76.1,5.1,7.6,496,0.71
HAM,"1,057",7,3,64,6,24,264,11.7,9,4,157,144,90,62.5,71.4,4.9,7.3,357,0.43
MTL,"1,120",1,2,69,12,26,280,10.3,22,11,145,112,75,67.0,101.8,0.9,10.0,519,2.00
OTT,786,8,1,54,4,23,197,9.5,9,8,141,124,74,59.7,54.0,6.5,6.3,332,0.13
SSK,"1,159",4,6,60,7,25,290,10.8,13,6,153,134,88,65.7,95.3,3.0,8.6,391,1.50
TOR,751,2,2,59,5,14,250,11.9,4,1,81,76,50,65.8,95.9,2.6,9.9,328,1.00
WPG,"1,269",2,9,68,9,30,254,11.8,13,4,163,146,98,67.1,109.1,1.4,8.7,460,4.50
CFL,"9,649",45,39,102,60,215,508,10.8,103,60,"1,337","1,174",754,64.2,85.0,3.8,8.2,"3,884",0.87
